size,count,type,redop,root,time,algbw,busbw,wrong
0,0,float,sum,-1,0.21,0.00,0.00,0
0,0,float,sum,-1,0.20,0.00,0.00,0
4,1,float,sum,-1,16.87,0.00,0.00,0
8,2,float,sum,-1,16.67,0.00,0.00,0
16,4,float,sum,-1,16.45,0.00,0.00,0
32,8,float,sum,-1,16.59,0.00,0.00,0
64,16,float,sum,-1,16.62,0.00,0.01,0
128,32,float,sum,-1,16.95,0.01,0.01,0
256,64,float,sum,-1,17.25,0.01,0.03,0
512,128,float,sum,-1,17.95,0.03,0.05,0
1024,256,float,sum,-1,18.26,0.06,0.10,0
2048,512,float,sum,-1,18.87,0.11,0.19,0
4096,1024,float,sum,-1,20.14,0.20,0.36,0
8192,2048,float,sum,-1,22.46,0.36,0.64,0
16384,4096,float,sum,-1,27.12,0.60,1.06,0
32768,8192,float,sum,-1,27.51,1.19,2.08,0
65536,16384,float,sum,-1,27.70,2.37,4.14,0
131072,32768,float,sum,-1,28.00,4.68,8.19,0
262144,65536,float,sum,-1,28.59,9.17,16.05,0
524288,131072,float,sum,-1,50.12,10.46,18.30,0
1048576,262144,float,sum,-1,53.66,19.54,34.20,0
2097152,524288,float,sum,-1,60.11,34.89,61.06,0
4194304,1048576,float,sum,-1,76.62,54.74,95.80,0
8388608,2097152,float,sum,-1,100.2,83.75,146.56,0
16777216,4194304,float,sum,-1,155.3,108.04,189.07,0
33554432,8388608,float,sum,-1,240.1,139.77,244.59,0
67108864,16777216,float,sum,-1,426.6,157.30,275.28,0
134217728,33554432,float,sum,-1,797.6,168.28,294.48,0
268435456,67108864,float,sum,-1,1541.8,174.11,304.69,0
536870912,134217728,float,sum,-1,3032.1,177.06,309.86,0
1073741824,268435456,float,sum,-1,5972.3,179.79,314.63,0
2147483648,536870912,float,sum,-1,11891,180.60,316.06,0
4294967296,1073741824,float,sum,-1,23735,180.95,316.67,0
